nombre,precio,descuento,categoria,tienda
Cuchillo Color Naranja Honway Unidad,$2.44,False,Hogar,SUPERMAXI
Cuchillo De Chef Honway Unidad,$3.85,False,Hogar,SUPERMAXI
Sartén Milano Umco 18 Cm,$6.08,False,Hogar,SUPERMAXI
Sartén 24 Cm Aluminio Antiadherente Umco,$8.68,False,Hogar,SUPERMAXI
Sartén de Inducción Black Stone Umco 24 Cm,$15.99,False,Hogar,SUPERMAXI
Sartén Milano Umco 16 Cm,$5.60,False,Hogar,SUPERMAXI
Sartén de Inducción Black Stone Plus Umco 28 Cm,$19.61,False,Hogar,SUPERMAXI
Sartén de Inducción Black Stone Plus Umco 24 Cm,$16.84,False,Hogar,SUPERMAXI
Repostero Diseño Ondas Lila Lavanda Color Violeta Casa Pica 300 Ml,$0.49,True,Hogar,SUPERMAXI
Repostero Flip Color Menta Casa Pica 1 L,$1.28,False,Hogar,SUPERMAXI
